ParcelID,Address
09F380801770166,"4095 Montego Bay Dr, Atlanta, GA 30349-1803"
13003500050114,"4785 KENT RD, Atlanta, GA 30337-5317"
13016200010048,"125 Cainwood Ct W, Atlanta, GA 30349"
14000700130165,"1066 Kipling St SE, Atlanta, GA 30315-7031"
14000800080278,"1547 Pontiac Pl SE, Atlanta, GA 30315-4511"
14002700020412,"874 McWilliams Rd, Atlanta, GA 30315"
14003800090230,"433 SARGENT DR SE, Atlanta, GA 30315-7419"
14005500040746,"82 Haygood Ave SE, Atlanta, GA 30315-1837"
14005500041181,"997 Violet Ave, Atlanta, GA 30315"
14005700010317,"82 Moury Ave SE, Atlanta, GA 30315-4069"
14005700020381,"24 Moury Ave, Atlanta, GA 30315"
14006100020575,"2774 Macon Dr SE, Atlanta, GA 30354-2002"
14006100030509,"65 Springside Dr SE, Atlanta, GA 30354-2143"
14006200010500,"3260 Ward Dr SW, Atlanta, GA 30354-2625"
14006300010103,"3424 Browns Mill Rd. SE, Atlanta, GA 30354-2705"
14006700020348,"76 Ruzelle Dr SW, Atlanta, GA 30354"
14006900020163,"2627 Macon Dr SW, Atlanta, GA 30315"
14007200040273,"204 Upshaw St SW, Atlanta, GA 30315"
14008600060572,"796 Bender St SW, Atlanta, GA 30310-2112"
14008700091535,"1163 GARIBALDI ST SW, Atlanta, GA 30310-3661"
14009100040197,"2234 Nelms Dr SW, Atlanta, GA 30315-6404"
14009300030493,"2914 THIRD AVE SW, Atlanta, GA 30315-8906"
14010300020492,"2081 Perkerson Rd SW, Atlanta, GA 30310-5052"
14010500020847,"1460 EVERHART ST SW, Atlanta, GA 30310-4350"
14010500030119,"721 Erin Ave SW, Atlanta, GA 30310-4212"
14010500050216,"812 Beechwood Dr SW, Atlanta, GA 30310"
14010500110366,"1460 EVERHART ST SW, Atlanta, GA 30310-4350"
14011100011285,"521 Oliver St NW, Atlanta, GA 30314-3223"
14011100021490,"712 Meldrum St NW, Atlanta, GA 30318-6860"
14011400060305,"339 Temple St NW, Atlanta, GA 30314-2720"
14011500060262,"1025 Washington Heights Ter NW, Atlanta, GA 30314-2824"
14011900040070,"976 Donnelly Ave SW, Atlanta, GA 30310-3330"
14012100030432,"985 Byron Dr SW, Atlanta, GA 30310"
14012100050489,"1662 Langston Ave SW, Atlanta, GA 30310-4557"
14012200080089,"930 Astor Ave SW, Atlanta, GA 30310-4922"
14012500060310,"2836 HARLAN DR, Atlanta, GA 30344-3704"
14012500100496,"2827 Blount St, Atlanta, GA 30344-3732"
14013400010520,"1483 ELIZABETH LN, Atlanta, GA 30344-1742"
14013900030655,"1439 ALLEGHENY ST SW, Atlanta, GA 30310-2554"
14013900070362,"1282 Westboro Dr, Atlanta, GA 30310"
14014000010894,"380 Inman St, Atlanta, GA 30310"
14014000040016,"416 Inman St SW, Atlanta, GA 30310-1245"
14014000060733,"1303 Lucile Ave SW, Atlanta, GA 30310-1613"
14014200040881,"1426 HAWKINS ST NW, Atlanta, GA 30314-2024"
14014600080263,"505 Holly St NW Atlanta, GA 30318"
14014900030059,"1749 Derry Ave SW, Atlanta, GA 30310"
14014900070477,"505 W Ontario Ave SW, Atlanta, GA 30310-1531"
14014900070592,"1670 STOKES AVE SW, Atlanta, GA 30310-1524"
14015400010145,"1729 MCCLELLAND AVE, Atlanta, GA 30344-1614"
14015400030358,"1751 CARTER CIR, Atlanta, GA 30344-1601"
14015600100092,"2673 CHENEY ST, Atlanta, GA 30344-3129"
14016300040232,"3242 College St, Atlanta, GA 30337-1124"
14016300100069,"1814 Dunlap Ave, Atlanta, GA 30344-4710"
